2013-12-16 11.11.59.6156 | Service have start
2013-12-16 11.12.12.3028 | Client 7 connected
2013-12-16 11.12.13.9408 | Chiper Data: YwYmZrw5KoK4r/lirP08sFPOLJ1G4pPgZLsCqjCCHaU9m77tgzegioUVkErq2IgPb5qjvSRb2sRQe85h2/15XTwKDAc3NUsNAYG9bi6EKGCV5hUFDLc+ZaoLYEjutGH2vwFJ6l/VJsoAcjZn/a1CguEWlvO8f9SG09CnorwBYAY=
2013-12-16 11.12.13.9408 | Plain Text: 1222
2013-12-16 11.12.13.9408 | Client 7 disconnected
2013-12-16 11.12.41.7928 | Client 5 connected
2013-12-16 11.12.43.7272 | Chiper Data: NEwdinIpXyHgtKC/9o5VmUmI25MrUhV8057u+lC1oTRFcnVJgmIE2ZN+P4MZe1iPk61Hiu1tBV0VZx40QSP4IbgUOZWAa1GPwr1knRTPEIr1vXHIQgQCimTqH+ghwN2jSXWP3FrXrfScTKg3Mh5/fxMJPFzJbql8vE6/LatFMvM=
2013-12-16 11.12.43.7272 | Plain Text: 67
2013-12-16 11.12.43.7272 | Client 5 disconnected
2013-12-16 11.13.07.9994 | Service have end
2013-12-16 11.15.01.1332 | Service have start
2013-12-16 11.16.10.0852 | Service have end
2013-12-16 11.17.12.2656 | Client 7 connected
2013-12-16 11.19.01.7268 | Service have start
2013-12-16 11.19.08.1228 | Service have end
2013-12-16 11.25.20.3272 | Service have start
2013-12-16 11.25.25.8366 | Service have end
2013-12-16 11.25.44.2182 | Client 7 connected
2013-12-16 11.26.14.2074 | Service have start
2013-12-16 11.26.21.1962 | Service have end
2013-12-16 11.26.36.6246 | Client 7 connected
2013-12-16 11.27.27.8406 | Service have start
2013-12-16 11.27.36.7326 | Client 7 connected
2013-12-16 11.27.37.9338 | Chiper Data: k9DKDJW5060GzeCxQ5G5JLGziTbB7eHsUEcm6Yv5fQPBo6i8kyNjKrhHGBIZgbhNvDos/G3ZpB4hwICVvc/kjt9cbfv170B3tLuEfJsEa8XOiYKSQh3KOBbOPLlwP7JsQ+7Pb4sPJvifvimtOps8Qdw+VnhzLH/tH4x9qJXzxlE=
2013-12-16 11.27.37.9338 | Plain Text: 1212
2013-12-16 11.27.37.9338 | Client 7 disconnected
2013-12-16 11.27.57.2862 | Service have end
2013-12-16 11.31.17.5252 | Service have start
2013-12-16 11.31.25.6216 | Service have end
2013-12-16 11.34.32.6224 | Service have start
2013-12-16 11.34.42.3568 | Service have end
2013-12-16 11.35.17.3164 | Service have start
2013-12-16 11.35.35.7868 | Service have start
2013-12-16 11.35.43.9918 | Client 5 connected
2013-12-16 11.35.46.2070 | Chiper Data: tWqnQ+xa8pDnqL+AL0QlGHQdS3DfkjSgGql2PYreTp/0LlYaXKDdY5xjc0YBcJq/WBVpr50YwUVI9oskK3NQLeQQgT6VKo5b6akocvdZA5MjDrN0yUKqv78HDSp3MoTVHF3ZcJtPXV57OPyucH53O2ckykTv5c6IbbWAsGnDb94=
2013-12-16 11.35.46.2070 | Plain Text: 1212
2013-12-16 11.35.46.2070 | Client 5 disconnected
2013-12-16 11.35.50.5126 | Client 7 connected
2013-12-16 11.35.52.2598 | Chiper Data: OTCQ+8WQDmZ7T3FNUJi1tRTWfEsnT34Txd2KZyCaCaP4RqoE9pPSoEqHghm6yeJD9Hj1rsSISTsfzTTRMne9oXx70egS+KSk3zWZRjjv3/10+wV+PFZMHUk560Yj0DqPn3esC5X3ZN+yCsx1GikT0p/YXOC+rgI0P4CJBOu5g9M=
2013-12-16 11.35.52.2754 | Plain Text: 3455
2013-12-16 11.35.52.2754 | Client 7 disconnected
2013-12-16 11.48.39.0978 | Service have start
2013-12-16 11.49.10.7242 | Client 8 connected
2013-12-16 11.49.13.6570 | Client 10 connected
2013-12-16 11.49.17.4322 | Client 11 connected
2013-12-16 11.49.19.4134 | Chiper Data: sREkj4/MYZ1RyREwJPtcp2HBbdQsrbH1EGv0Cbr3fgJDBdXKGKat/bTdRZdb3J5OsTMdeHAUZCdJCKd6G9cU5V9XgS6lhzBuFMGyYfDsZx3OF4gOwILiiLch+8+mxeHiE581wIYqZ/HHbeRud1Srrl8F7qp9ixq0KKcT/nVbNq8=
2013-12-16 11.49.19.4134 | Plain Text: 122
2013-12-16 11.49.19.4134 | Client 11 disconnected
2013-12-16 11.49.22.0966 | Chiper Data: dlw7JK9TKSJdUGcGZp43COVmTXNQKZi9PWYYawB00hhlrpXjoVZp3/fvnzje3hPc80u/zmTajnZHyswZsmR3pphgHE706wdKE8dPdZ2rhVmaXh5BlKXu3Ti8yE3zDe+uHqk7qIQ5gIqd0IsQ1VY+jH1lr9IgQQYwGedpyP5+S9c=
2013-12-16 11.49.22.0966 | Plain Text: 122
2013-12-16 11.49.22.0966 | Client 10 disconnected
2013-12-16 11.49.24.7954 | Chiper Data: CDckeorjkew9yUE9El5sC44+55X4fbu9lbqAQRVdUzTxsscnDj84BlSlD2IAMLFy/k0biJwDDGXbB3qCHmy+l62gRaZjmy3rVnvogxkT5rJVRTsl1+XKR2ClJKhNB4ah7O2Mc+yalfdJ9oSunohm1J4ydxKn6fJfK5iAkFdpwAg=
2013-12-16 11.49.24.7954 | Plain Text: 1212
2013-12-16 11.49.24.7954 | Client 8 disconnected
2013-12-16 11.49.25.2166 | Canalización interrumpida.
2013-12-16 11.49.29.4910 | Client 12 connected
2013-12-16 11.49.31.5658 | Client 13 connected
2013-12-16 11.49.35.0174 | Client 14 connected
2013-12-16 11.49.37.9872 | Chiper Data: dqM/efWEWoBayaWzHjgWcNr4xFQfY2qDDZdJuHxtwo/5WeHvtAfAdyt9jctpHk+g325SnIa4suwFM0E6KWRMY2YRnGpE7Z9C/E+9di8QQ60Sb+FFFFdka5vmyTrImviaIb9xSKVapi5p2MieK8HyC6KjXB62sr5RGJtGwR+mI5M=
2013-12-16 11.49.37.9872 | Plain Text: 1212
2013-12-16 11.49.37.9872 | Client 14 disconnected
2013-12-16 11.49.42.9636 | Chiper Data: lCpHeACpdjFvOxKaBBjmWFYvCaneZtU1zu4achpDd/+wXIEkfKcuWp5pbQb2Y5SBsz0cxIC/upPIZlaAOQxrha/SGVVbtlJ415Fd3/4Bw9sUd8x3D8Jt+EHvH99NUFiluBXlieewPGt414zoKEtv/P/RVKYV8ClNoMjMMnucC+U=
2013-12-16 11.49.42.9636 | Plain Text: 444
2013-12-16 11.49.42.9636 | Client 13 disconnected
2013-12-16 11.49.47.5696 | Chiper Data: DzdUaLAPpUdWrrlbSOFTuVpWm+iXw7pMKznilmpTcH3LizcTOyAPUbfwRtNlLZs+Y+waqN2ZfHpb5xYmUv+6vuKmwzQ2STMxyIS7Zk/u1hEg6Qn/ojpH7cYgDJhzRBLFK879w+oS6eKUzAaUWDRJkiqAEJKNSrGgOezeKsJgKG0=
2013-12-16 11.49.47.5852 | Plain Text: 88edsd
2013-12-16 11.49.47.5852 | Client 12 disconnected
2013-12-16 12.09.11.1650 | Service have end
2013-12-16 12.09.21.3146 | Service have start
2013-12-16 12.09.37.2098 | Service have start
2013-12-16 12.09.53.7874 | Client 7 connected
2013-12-16 12.09.55.8466 | Chiper Data: OHBuDXCVhKbzmSMc6wlrnSPD4dr2uI0/MOQaIHNdl0Fgdsahr76Im/btBJELCndDSjBxxs1ZpIu44e6Xcd7577ZdUmG/BdmNIwli1Udx2cggw+dBc6qfMsDUikd7THFYC0UF4fsFGbTwvvK2knA8QMMnH3SyMt/LdiPFqqXx8I4=
2013-12-16 12.09.55.8622 | Plain Text: 122
2013-12-16 12.09.55.8622 | Client 7 disconnected
2013-12-16 12.09.58.8418 | Client 5 connected
2013-12-16 12.09.59.7622 | Chiper Data: HBTH40Ayf6/mp9csVDD5S7kdE+S+bBqWwRl7imwBPSEK4yzjokP/93US68UVeY87ZJ//+TxBS1cTDGLQvZg1C6AprxsiffPwdI0VQAiK8+VlUUaIn6dYCmgm7j8IQyaC/ij8JsrUaPpm336AqLCZ4FFRkTggHHgKwPnyOC2sSAc=
2013-12-16 12.09.59.7622 | Plain Text: 2323
2013-12-16 12.09.59.7622 | Client 5 disconnected
2013-12-16 12.10.01.2598 | Client 8 connected
2013-12-16 12.10.01.8682 | Chiper Data: QPlLj+r+Mkal6wCswqRym7p/KmnLgwXmG7Ht83cSeQqvu22MGiIBglrfio2Y/1jo55KdpDz3jk6ahQtyrsYKQbZoDtZaHii7nHdeli4Fh5kgx2pwPQFVp9I4jD2k6bT22741B/omt7vNlm7w5+3PfPHFlLxdY0yFY7wD3ETroGw=
2013-12-16 12.10.01.8682 | Plain Text: 2323
2013-12-16 12.10.01.8682 | Client 8 disconnected
2013-12-16 12.10.15.5494 | Client 9 connected
2013-12-16 12.10.22.1950 | Chiper Data: jKsqZWg6/RSOW22/Fyg9HnpiYY0hClx//CU9ybCG1hvyfzxFpt5vxDqIas1uhf0uxklkK1Qjdw+xkEPZ18I2qdIpGruGpvIaFC5QUc/RK6l6oMPqZRVCIeCfHAR4ggy8jsDFOddneXwhHwRja2mqMH17VscWsFi69jcpLOmjoF4=
2013-12-16 12.10.22.2106 | Plain Text: 1233
2013-12-16 12.10.22.2106 | Client 9 disconnected
2013-12-16 12.11.48.1738 | Client 10 connected
2013-12-16 12.11.54.0082 | Client 11 connected
2013-12-16 12.11.58.3918 | Client 12 connected
2013-12-16 12.41.55.2204 | Chiper Data: ukLbnWOzRuP/feFKodv+DTIM/8DeXrVPMLZp3NM1wyLeT+ZKcpm/xQsZqFVcgE8ejw2Ip8TtCdpL2JiFdM88YW6EqFevSV43n7+ozoIGlGvpr0mbXCGTkUj4cjn42x8Xr61k6mO+cv5Zkq8oLlT5tWqVuDlYM7x7/t4vMCXJUgo=
2013-12-16 12.41.55.2204 | Plain Text: 676
2013-12-16 12.41.55.2204 | Client 11 disconnected
2013-12-16 12.44.46.0466 | Client 13 connected
